Student ID,First name,Last name,Gender,Date of birth,Classname,Country
576089,Jimmy,Herzog,Female,27/02/1985,5203004,Zambia
528193,Lelah,Hickle,Female,26/09/1983,5203002,Panama
580365,Marc,Gleason,Female,11/02/1983,5203001,Azerbaijan
564255,Marietta,Wuckert,Female,30/01/1983,5203001,Montenegro
520075,Amir,Paucek,Female,08/06/1986,5203002,Monaco
542492,Karine,Buckridge,Male,01/11/1982,5203003,Poland
524985,Abbigail,Roberts,Female,15/01/1983,5203001,Nigeria
549335,Esta,Rolfson,Male,02/03/1980,5203003,Bahrain
537267,Edyth,Marquardt,Female,11/02/1981,5203004,Montenegro
501854,Shannon,Wilkinson,Male,20/07/1980,5203003,Panama
510079,Heath,Deckow,Female,26/03/1985,5203004,China
512776,Ethel,Zieme,Male,26/01/1986,5203002,Nigeria
538679,Susan,Bradtke,Male,15/08/1983,5203002,Greenland
520969,Margaret,Brekke,Male,15/04/1984,5203001,Austria
548125,Eileen,Hand,Female,27/04/1980,5203004,Eritrea
511111,Melyna,Jakubowski,Female,17/04/1985,5203001,Chile
531468,May,Ferry,Male,28/02/1984,5203003,Poland
526730,Margarett,Jaskolski,Male,31/01/1984,5203002,Nigeria
570635,Bobby,White,Male,27/01/1982,5203001,Uzbekistan
577601,Hobart,Kassulke,Male,17/03/1983,5203004,Sweden
564035,Heath,Deckow,Male,08/06/1984,5203003,Mexico
588700,Dora,Schulist,Female,06/11/1983,5203003,Azerbaijan
584305,Maureen,Jakubowski,Male,29/10/1986,5203004,Sweden
565517,Brock,Fahey,Male,05/02/1984,5203002,Chile
519927,Jazmyne,Harber,Female,19/02/1981,5203004,Montenegro
530784,Brice,Mraz,Male,03/09/1982,5203003,Sweden
505275,Augustine,Turner,Female,03/09/1980,5203001,Eritrea
593903,Ashleigh,Reynolds,Male,02/06/1983,5203003,Nigeria
546550,Maureen,White,Male,21/05/1987,5203003,Nigeria
587060,Daphney,Will,Female,26/05/1982,5203002,Canada
523603,Dagmar,Turcotte,Male,12/07/1985,5203001,Poland
513458,Waylon,Borer,Female,01/02/1984,5203003,Greenland
566130,Eugene,Strosin,Female,14/12/1983,5203002,Ethiopia
530367,Tanya,Nitzsche,Male,28/03/1983,5203002,Nigeria
579073,Leonora,Carroll,Female,03/07/1983,5203002,Azerbaijan
526982,Romaine,Pacocha,Male,09/05/1980,5203001,Monaco
584028,Nettie,Gottlieb,Female,24/01/1988,5203004,Ethiopia
582871,Raina,Dietrich,Male,24/05/1983,5203004,Sweden
534507,Ellis,Gerhold,Male,06/05/1987,5203002,Indonesia
